name,process_count,env_count,mode,allocated,duration
local,10000,1,spawn,1073741824,0.608354682
local,10000,1,spawn,1073741824,0.623630658
local,10000,1,spawn,1073741824,0.61588263
local,10000,1,spawn,2147483648,0.633160838
local,10000,1,spawn,2147483648,0.633402965
local,10000,1,spawn,2147483648,0.626171852
local,10000,1,spawn,3221225472,0.622658868
local,10000,1,spawn,3221225472,0.638784873
local,10000,1,spawn,3221225472,0.698585332
local,10000,1,spawn,4294967296,0.632519209
local,10000,1,spawn,4294967296,0.664315803
local,10000,1,spawn,4294967296,0.656281632
local,10000,1,spawn,5368709120,0.656863124
local,10000,1,spawn,5368709120,0.687501477
local,10000,1,spawn,5368709120,0.693917869
