name,process_count,env_count,mode,duration
local,1000,1,spawn,0.065234754
local,1000,1,spawn,0.06824623
local,1000,1,spawn,0.069436011
local,1000,1,spawn,0.072531193
local,1000,1,spawn,0.070125292
local,1000,1,spawn,0.070880918
local,1000,1,spawn,0.070534018
local,1000,1,spawn,0.091138927
local,1000,1,spawn,0.079591935
local,1000,1,spawn,0.073822625
local,5000,1,spawn,0.362534606
local,5000,1,spawn,0.365458361
local,5000,1,spawn,0.36889402
local,5000,1,spawn,0.369114137
local,5000,1,spawn,0.369011466
local,5000,1,spawn,0.402024597
local,5000,1,spawn,0.453685934
local,5000,1,spawn,0.510397037
local,5000,1,spawn,0.482255415
local,5000,1,spawn,0.475156211
local,10000,1,spawn,0.962470857
local,10000,1,spawn,0.949820507
local,10000,1,spawn,0.941360826
local,10000,1,spawn,0.955301799
local,10000,1,spawn,0.948865125
local,10000,1,spawn,0.963744789
local,10000,1,spawn,0.944077378
local,10000,1,spawn,0.949106123
local,10000,1,spawn,0.94140182
local,10000,1,spawn,0.965035309
local,25000,1,spawn,2.324184446
local,25000,1,spawn,2.325035082
local,25000,1,spawn,2.335478069
local,25000,1,spawn,2.373814972
local,25000,1,spawn,2.3403294629999998
local,25000,1,spawn,2.303575605
local,25000,1,spawn,2.312403917
local,25000,1,spawn,2.328278688
local,25000,1,spawn,2.406780859
local,25000,1,spawn,2.342094029
